Time,hour,Temp,Dew,SeaP,WD,WS,rain6,area
2020-01-04 03:00:00,3,-3.9391304347826104,-12.43913043478261,1033.3478260869565,174.2608695652174,1.7826086956521738,,NCP
2020-01-04 06:00:00,6,0.991304347826087,-11.373913043478263,1029.8695652173913,148.04347826086956,2.421739130434782,,NCP
2020-01-04 09:00:00,9,-0.6173913043478259,-11.034782608695652,1029.8043478260872,102.78260869565217,2.1086956521739126,,NCP
2020-01-04 12:00:00,12,-5.317391304347826,-12.091304347826085,1031.7217391304348,117.69565217391305,2.6391304347826083,,NCP
2020-01-04 15:00:00,15,,,,,,,NCP
2020-01-04 18:00:00,18,,,,,,,NCP
2020-01-04 21:00:00,21,,,,,,,NCP
2020-01-05 00:00:00,0,-8.595652173913042,-12.891304347826088,1030.4173913043478,187.91304347826087,1.7130434782608694,,NCP
2020-01-05 03:00:00,3,-4.860869565217392,-9.713043478260868,1030.4782608695652,191.82608695652175,1.5869565217391304,,NCP
2020-01-05 06:00:00,6,-2.5391304347826082,-7.626086956521739,1027.9434782608694,174.08695652173913,2.208695652173913,,NCP
2020-01-05 09:00:00,9,-2.8217391304347834,-6.573913043478262,1028.3521739130435,198.52173913043478,2.1869565217391305,,NCP
2020-01-05 12:00:00,12,-3.7304347826086968,-5.965217391304347,1029.4043478260871,185.30434782608697,1.8652173913043477,,NCP
2020-01-05 15:00:00,15,,,,,,,NCP
2020-01-05 18:00:00,18,-5.747826086956523,-7.517391304347826,1028.791304347826,196.47826086956522,2.152173913043478,,NCP
2020-01-05 21:00:00,21,,,,,,,NCP
2020-01-06 00:00:00,0,,,,,,,NCP
2020-01-06 03:00:00,3,-5.530434782608697,-8.839130434782607,1030.9478260869564,213.43478260869566,2.452173913043478,,NCP
2020-01-06 06:00:00,6,,,,,,,NCP
2020-01-06 09:00:00,9,-5.230434782608698,-9.791304347826088,1030.4565217391305,195.91304347826087,2.6,,NCP
2020-01-06 12:00:00,12,-7.843478260869567,-11.647826086956515,1032.3391304347826,213.82608695652175,2.591304347826087,,NCP
2020-01-06 15:00:00,15,,,,,,,NCP
2020-01-06 18:00:00,18,-10.465217391304346,-13.9695652173913,1032.6521739130433,207.2173913043478,2.0304347826086957,,NCP
2020-01-06 21:00:00,21,,,,,,,NCP
2020-01-07 00:00:00,0,-11.7,-15.195652173913048,1033.613043478261,220.2608695652174,2.5086956521739125,,NCP
2020-01-07 03:00:00,3,-8.282608695652174,-13.847826086956522,1033.878260869565,185.8695652173913,2.1695652173913045,,NCP
2020-01-07 06:00:00,6,-5.952173913043478,-12.821739130434784,1031.7695652173911,210.47826086956522,2.5478260869565217,,NCP
2020-01-07 09:00:00,9,,,,,,,NCP
2020-01-07 12:00:00,12,-11.104347826086956,-15.208695652173914,1035.0608695652172,157.56521739130434,1.7217391304347827,,NCP
2020-01-07 15:00:00,15,,,,,,,NCP
2020-01-07 18:00:00,18,-14.443478260869563,-18.182608695652174,1034.8826086956524,169.2608695652174,1.3304347826086955,,NCP
2020-01-07 21:00:00,21,-15.226086956521733,-18.97826086956521,1035.3086956521738,205.08695652173913,1.7391304347826086,,NCP
2020-01-08 00:00:00,0,-15.713043478260868,-19.343478260869563,1036.8478260869567,215.82608695652175,1.839130434782609,,NCP
2020-01-08 03:00:00,3,-9.117391304347827,-15.430434782608694,1035.9608695652175,205.69565217391303,1.9478260869565216,,NCP
2020-01-08 06:00:00,6,-5.273913043478261,-13.58695652173913,1033.082608695652,175.82608695652175,2.3086956521739133,,NCP
2020-01-08 09:00:00,9,-6.617391304347828,-13.756521739130434,1033.6608695652174,176.2608695652174,1.8608695652173914,,NCP
2020-01-08 12:00:00,12,-11.130434782608694,-15.091304347826085,1035.6478260869567,193.34782608695653,1.673913043478261,,NCP
2020-01-08 15:00:00,15,,,,,,,NCP
