,index,period,area,hour,AQI,PM2.5,PM2.5_24h,PM10,PM10_24h,SO2,SO2_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,CO,CO_24h
3,7,(level2),NCP,11.618556701030913,69.29853670400344,40.24984592111159,40.464751958224554,78.63545555865147,79.38188743237053,12.129478479897596,12.169160991628749,28.255273377476055,28.15632149874839,62.84420925641592,102.04979677532226,60.862076390945056,67.5816128771769,0.7124971363115699,0.7172599660843584
24,13,(level2),YR,11.691666666666677,55.76669014084503,34.31318758815232,34.67857477730896,58.02275094696973,58.19146741678384,7.961001410437227,7.9534927332395675,26.80186023127198,26.472573839662452,64.44923918212082,102.83469292076884,63.34529190207153,70.52930145335206,0.7610174199623353,0.7638675574308487
14,17,(level3),PR,11.749999999999998,49.533468149646104,31.023571937684537,30.930333670374115,49.17391304347822,48.605813953488386,9.041395774075577,9.005460060667334,24.47152123239079,24.501971688574315,63.04109730848865,105.11051567239637,61.655882958994454,68.730269936122,0.7429380764163372,0.7467740141557127
18,18,(level3),SC,11.657534246575349,52.67519600241234,33.24409274282926,33.36299222742303,54.11085824324915,54.20380469790009,9.894052366915213,9.828339041095893,26.26720998786197,26.918150684931486,70.13832492972203,117.73410057113419,66.03438000355803,73.04157123719808,0.6710308873571247,0.6741601027397265
2,14,(level3),NCP,11.618556701030915,69.08794232376707,38.84371572713318,38.65408934707903,81.94541508410197,81.74024054982814,12.456665481692134,12.23625429553264,31.937887515133703,31.573333333333338,72.2467783505155,120.51168384879726,68.52020341797551,75.86872852233678,0.6901066477070747,0.6819601374570449
23,19,(level3),TP,12.10526315789474,43.37752739620314,18.012298788207634,17.40721804511278,45.566842105263134,44.97368421052628,9.151913875598087,9.212171052631582,15.077409432672589,14.66058612440192,77.08368421052633,106.65654904306238,77.29083484573503,83.6194331983806,0.5408771929824563,0.5353543660287087
26,20,(level3),YR,11.691666666666672,61.83316326530616,37.34387755102042,36.58164983164984,68.34897959183674,66.66069023569021,9.33402417962004,9.145538720538726,34.739092495637,34.31111111111109,75.92857142857146,128.1450336700337,70.58367346938775,78.31952861952863,0.692922619047619,0.6930000000000006
8,16,(level3),NW,11.883333333333333,112.41951600312257,55.34781491002566,55.62121212121216,179.57326565143822,187.4389277389277,10.231833333333329,10.178166278166271,23.481379883624275,23.040404040404045,74.97428833792475,112.75019425019407,72.71339790153348,78.56354166666665,0.575336675020885,0.5710668220668219
5,15,(level3),NEC,11.870967741935473,82.42496159754218,61.55334987593055,59.99231950844859,90.04471414883425,88.03894009216593,12.839500316255535,12.829723502304153,25.712681846932323,25.15168970814132,77.19892473118284,121.45368663594459,76.57918238509512,83.96298003072202,0.7366546026750586,0.72668356374808
1,21,(prelock),NCP,11.618556701030915,128.3513838081515,97.84993425691256,95.96492263430648,125.86322899320828,124.74387252641881,20.848740606472543,20.880741233418313,46.960434153944405,47.331097808816494,33.85999698999169,65.13158186453835,33.08580520302206,38.02960899043375,1.4796688308043495,1.4790359531463615
6,22,(prelock),NEC,11.870967741935466,102.23644595359374,76.30132355468974,75.99241652518391,96.46759869363441,96.2199207696661,22.747898682417098,22.568817204301098,39.51220344768732,39.709960384833025,41.46745494202736,67.6515563101301,41.31578947368422,47.0130730050934,1.1855002041649656,1.1884612337294858
16,25,(prelock),SC,11.657534246575352,61.800360490266755,44.080901890978495,44.16866137947606,57.597584059775905,58.78036529680366,8.728116195472662,8.763013698630129,27.97272396654137,28.279403989425646,35.09278836609095,62.91374669550586,34.04227005870841,38.502901027999116,0.9470247155178664,0.947397260273972
15,24,(prelock),PR,11.749999999999998,51.022167679601054,32.78825929995289,33.18662985144278,50.45531184138629,51.02862254025043,8.592401096748917,8.67655751730575,25.263728946337622,25.69744108267869,51.16455150802979,91.32655362837353,49.65711285680955,55.83036478183098,0.8540934821919957,0.8596499961110677
9,23,(prelock),NW,11.88333333333334,116.35477075588604,86.82933070866136,86.45202952029523,120.60441845354121,120.37189421894223,17.38429807052562,17.650123001230014,43.59691601049869,43.991082410824106,41.82869623655911,70.17503075030751,41.113110698824975,45.79461966604824,1.494690811535882,1.5051353013530135
21,26,(prelock),TP,12.105263157894745,41.87150055991044,22.71531612757806,22.465222242886373,37.434397352407416,37.37576715640693,12.05127938423134,12.158824623395933,20.436550266680072,20.47015064162171,61.41079048973782,92.36153989213312,61.62032732006701,66.9076622652036,0.8168848083698088,0.8169006881160499
27,27,(prelock),YR,11.691666666666674,89.52268777157045,65.921756672874,64.89380776340117,81.3496219281664,80.1631905648665,7.723096129837706,7.716173752310539,35.9601030927835,36.60455945779424,38.147036262203635,62.06491065927289,36.30245579567778,41.94620334620339,1.0123545568039947,1.0041709796672824
