kind,area,period,hour,value
CO,TP,l3,8,0.831324864
CO,TP,l3,9,0.916778584
CO,TP,l3,10,1.028956443
CO,TP,l3,11,0.813298872
CO,TP,l3,12,0.640377193
CO,TP,l3,13,0.583905263
CO,TP,l3,14,0.527398785
CO,TP,l3,15,0.519619883
CO,TP,l3,16,0.532246964
CO,TP,l3,17,0.511133603
CO,TP,l3,18,0.534298246
CO,TP,l3,19,0.530568421
CO,TP,l3,20,0.544682396
CO,TP,l3,21,0.592976407
CO,TP,l3,22,0.58962406
CO,TP,l3,23,0.574385965
CO,TP,pre,0,1.05374269
CO,TP,pre,1,1.02757177
CO,TP,pre,2,1.071523868
CO,TP,pre,3,1.062906977
CO,TP,pre,4,1.005350877
CO,TP,pre,5,0.97757177
CO,TP,pre,6,0.984912281
CO,TP,pre,7,1.070059809
CO,TP,pre,8,1.239381885
CO,TP,pre,9,1.430065789
CO,TP,pre,10,1.569204406
CO,TP,pre,11,1.621854942
CO,TP,pre,12,1.50445614
CO,TP,pre,13,1.330146879
CO,TP,pre,14,1.170288221
CO,TP,pre,15,0.993372576
CO,TP,pre,16,0.867086008
CO,TP,pre,17,0.848199446
CO,TP,pre,18,0.856322368
CO,TP,pre,19,0.9224541
CO,TP,pre,20,1.012296651
CO,TP,pre,21,1.123308271
CO,TP,pre,22,1.186681643
CO,TP,pre,23,1.122511962
CO,YR,l1,0,0.380039458
CO,YR,l1,1,0.376354249
CO,YR,l1,2,0.372753414
CO,YR,l1,3,0.3738354
CO,YR,l1,4,0.374075564
CO,YR,l1,5,0.375385755
CO,YR,l1,6,0.377633224
CO,YR,l1,7,0.382846021
CO,YR,l1,8,0.393518203
CO,YR,l1,9,0.404157811
CO,YR,l1,10,0.398633517
CO,YR,l1,11,0.393337363
CO,YR,l1,12,0.382387823
CO,YR,l1,13,0.372674331
CO,YR,l1,14,0.359158108
CO,YR,l1,15,0.352577766
CO,YR,l1,16,0.352700294
CO,YR,l1,17,0.356817837
CO,YR,l1,18,0.369655094
CO,YR,l1,19,0.382602021
CO,YR,l1,20,0.387678225
CO,YR,l1,21,0.386948636
CO,YR,l1,22,0.386034551
CO,YR,l1,23,0.383825147
CO,YR,l2,0,0.368836953
CO,YR,l2,1,0.365906724
CO,YR,l2,2,0.365199003
CO,YR,l2,3,0.359980329
CO,YR,l2,4,0.369595634
CO,YR,l2,5,0.361159737
CO,YR,l2,6,0.367842334
CO,YR,l2,7,0.378323734
CO,YR,l2,8,0.401743237
CO,YR,l2,9,0.400477392
CO,YR,l2,10,0.391172289
CO,YR,l2,11,0.377062965
CO,YR,l2,12,0.367799228
CO,YR,l2,13,0.359960628
CO,YR,l2,14,0.35319733
CO,YR,l2,15,0.346782834
CO,YR,l2,16,0.34076644
CO,YR,l2,17,0.34284313
CO,YR,l2,18,0.35635031
CO,YR,l2,19,0.359992914
CO,YR,l2,20,0.368745687
CO,YR,l2,21,0.372092597
CO,YR,l2,22,0.369443458
CO,YR,l2,23,0.361758113
CO,YR,l3,0,0.411956119
CO,YR,l3,1,0.37646098
CO,YR,l3,2,0.372348017
CO,YR,l3,3,0.366740006
CO,YR,l3,4,0.38207876
CO,YR,l3,5,0.382378577
CO,YR,l3,6,0.393292858
CO,YR,l3,7,0.424234554
CO,YR,l3,8,0.439815894
CO,YR,l3,9,0.444955917
CO,YR,l3,10,0.428226076
CO,YR,l3,11,0.395641779
CO,YR,l3,12,0.375794877
CO,YR,l3,13,0.364428082
CO,YR,l3,14,0.339744092
CO,YR,l3,15,0.333307272
CO,YR,l3,16,0.339404584
CO,YR,l3,17,0.368806602
CO,YR,l3,18,0.373429215
CO,YR,l3,19,0.379855288
CO,YR,l3,20,0.407875017
CO,YR,l3,21,0.414169615
CO,YR,l3,22,0.427044081
CO,YR,l3,23,0.406675509
CO,YR,pre,0,0.506139638
CO,YR,pre,1,0.507391334
CO,YR,pre,2,0.503716177
CO,YR,pre,3,0.498182164
CO,YR,pre,4,0.490056547
CO,YR,pre,5,0.492568725
CO,YR,pre,6,0.496909931
CO,YR,pre,7,0.508028108
CO,YR,pre,8,0.537520636
CO,YR,pre,9,0.558914459
CO,YR,pre,10,0.551360676
CO,YR,pre,11,0.539767318
CO,YR,pre,12,0.526281002
CO,YR,pre,13,0.512327064
CO,YR,pre,14,0.496917605
CO,YR,pre,15,0.494625785
CO,YR,pre,16,0.499851075
CO,YR,pre,17,0.50038636
CO,YR,pre,18,0.515301224
CO,YR,pre,19,0.52668567
CO,YR,pre,20,0.525855717
CO,YR,pre,21,0.526524504
CO,YR,pre,22,0.52457738
CO,YR,pre,23,0.518686232
NO2,NCP,l1,0,16.94001887
NO2,NCP,l1,1,16.36353798
NO2,NCP,l1,2,16.03691086
NO2,NCP,l1,3,15.57447682
NO2,NCP,l1,4,15.20363111
NO2,NCP,l1,5,15.02240607
NO2,NCP,l1,6,15.15237146
NO2,NCP,l1,7,16.06058607
NO2,NCP,l1,8,16.98110741
NO2,NCP,l1,9,16.050505
NO2,NCP,l1,10,14.58106051
NO2,NCP,l1,11,13.1077095
NO2,NCP,l1,12,11.74592237
NO2,NCP,l1,13,10.72575018
NO2,NCP,l1,14,10.0587666
NO2,NCP,l1,15,9.981313399
NO2,NCP,l1,16,10.10555595
NO2,NCP,l1,17,10.77763838
NO2,NCP,l1,18,12.27080322
NO2,NCP,l1,19,14.52801692
NO2,NCP,l1,20,15.98750307
NO2,NCP,l1,21,16.73581179
NO2,NCP,l1,22,17.18757124
NO2,NCP,l1,23,17.069713
NO2,NCP,l2,0,22.74727789
NO2,NCP,l2,1,22.48263338
NO2,NCP,l2,2,22.16911538
NO2,NCP,l2,3,21.96598444
NO2,NCP,l2,4,22.07724409
NO2,NCP,l2,5,22.01567687
NO2,NCP,l2,6,21.98489825
NO2,NCP,l2,7,23.10933715
NO2,NCP,l2,8,23.08040205
NO2,NCP,l2,9,21.03024489
NO2,NCP,l2,10,18.23949425
NO2,NCP,l2,11,15.77658317
NO2,NCP,l2,12,13.64530865
NO2,NCP,l2,13,12.36965017
NO2,NCP,l2,14,11.37445548
NO2,NCP,l2,15,11.0627296
NO2,NCP,l2,16,11.34115579
NO2,NCP,l2,17,12.04622466
NO2,NCP,l2,18,14.14706777
NO2,NCP,l2,19,16.8257629
NO2,NCP,l2,20,19.69130491
NO2,NCP,l2,21,21.38856668
NO2,NCP,l2,22,22.90192311
NO2,NCP,l2,23,22.95871096
NO2,NCP,l3,0,28.25883838
NO2,NCP,l3,1,27.72746055
NO2,NCP,l3,2,28.06287487
NO2,NCP,l3,3,27.06501824
NO2,NCP,l3,4,26.67966243
NO2,NCP,l3,5,26.56503634
NO2,NCP,l3,6,26.53730931
NO2,NCP,l3,7,27.18462031
NO2,NCP,l3,8,26.40976444
