kind,area,Time.1,value
O3,NCP,5,21.838038474496933
O3,NCP,6,21.089875492729803
O3,NCP,7,19.80998623648636
O3,NCP,8,19.775175456998372
O3,NCP,9,22.87875825706057
O3,NCP,10,27.761729683763406
O3,NCP,11,33.426085657724954
O3,NCP,12,39.16241352655677
O3,NCP,13,44.09383242831774
O3,NCP,14,47.75049561886912
O3,NCP,15,49.710661568463394
O3,NCP,16,50.30672434551606
O3,NCP,17,49.09576356842919
O3,NCP,18,45.24629507701449
O3,NCP,19,40.17399104102385
O3,NCP,20,35.38074895371925
O3,NCP,21,31.890450876523257
O3,NCP,22,29.08237240663375
O3,NCP,23,27.32243813442739
O3,NEC,0,36.95280157651389
O3,NEC,1,36.02407785079786
O3,NEC,2,35.34398799103511
O3,NEC,3,34.71543055354226
O3,NEC,4,34.06691029688804
O3,NEC,5,33.197320529340324
O3,NEC,6,31.66014618324004
O3,NEC,7,30.142850332503937
O3,NEC,8,31.48717402211262
O3,NEC,9,36.90056119460352
O3,NEC,10,43.56403839510802
O3,NEC,11,49.92647285151441
O3,NEC,12,55.08308246200761
O3,NEC,13,59.14204557047491
O3,NEC,14,61.43728507096697
O3,NEC,15,62.043017413401536
O3,NEC,16,61.03841210430774
O3,NEC,17,57.48567714032474
O3,NEC,18,52.14396360132062
O3,NEC,19,46.628987825468776
O3,NEC,20,42.5568267120382
O3,NEC,21,40.04444756579967
O3,NEC,22,38.60396400512103
O3,NEC,23,37.79681926387276
O3,NW,0,37.15874208860759
O3,NW,1,35.08327814569536
O3,NW,2,34.32877049180328
O3,NW,3,33.508825136612025
O3,NW,4,32.81463852097128
O3,NW,5,31.88364754098361
O3,NW,6,30.846408991228056
O3,NW,7,29.22777777777778
O3,NW,8,27.917886513157878
O3,NW,9,29.2687292358804
O3,NW,10,34.81983932461874
O3,NW,11,44.09173634336679
O3,NW,12,55.823968512486424
O3,NW,13,65.9468509350935
O3,NW,14,73.46821546052632
O3,NW,15,78.30933060109292
O3,NW,16,80.10836074561405
O3,NW,17,79.22514832793962
O3,NW,18,75.48937158469944
O3,NW,19,67.95298404840486
O3,NW,20,58.36362499999999
O3,NW,21,49.66890176600441
O3,NW,22,43.21971578366445
O3,NW,23,39.120971302428245
O3,PR,0,29.167012454398304
O3,PR,1,29.1350744055645
O3,PR,2,28.701474218166304
O3,PR,3,28.12975897418116
O3,PR,4,27.402744759158534
O3,PR,5,26.94741275124567
O3,PR,6,26.170853500621526
O3,PR,7,25.00762740275517
O3,PR,8,24.29007209217303
O3,PR,9,26.29562404742826
O3,PR,10,31.013749963499247
O3,PR,11,37.16951029581877
O3,PR,12,44.383695541518456
O3,PR,13,50.933246836601825
O3,PR,14,55.85366557017232
O3,PR,15,58.41632963239204
O3,PR,16,58.81126785797123
O3,PR,17,57.383337137673784
O3,PR,18,53.19866281868992
O3,PR,19,46.268228694106654
O3,PR,20,39.88394295961148
O3,PR,21,35.44360145016702
O3,PR,22,32.53470042305457
O3,PR,23,30.655463220554687
O3,SC,0,26.31735401111031
O3,SC,1,25.497311051015025
O3,SC,2,25.22109344986876
O3,SC,3,24.512367569029006
O3,SC,4,24.143617856539617
O3,SC,5,23.627142893505027
O3,SC,6,22.82403822316808
O3,SC,7,21.58734301303558
O3,SC,8,20.528285156259734
O3,SC,9,21.581496945086787
O3,SC,10,25.555584366060753
O3,SC,11,31.0056273032029
O3,SC,12,37.195511775180115
O3,SC,13,42.68062629971704
O3,SC,14,46.782260404379194
O3,SC,15,48.8652839380459
O3,SC,16,49.308705641154965
O3,SC,17,48.49673810909797
O3,SC,18,45.61200074519834
O3,SC,19,40.9256720809025
O3,SC,20,36.28599189104212
O3,SC,21,32.44252168648359
O3,SC,22,29.89233505050249
O3,SC,23,27.788014932977404
O3,TP,0,67.85930680359435
O3,TP,1,65.80308981408747
O3,TP,2,64.46969696969695
O3,TP,3,62.87313432835821
O3,TP,4,61.49629727585296
O3,TP,5,59.90657894736842
O3,TP,6,58.05144141761437
O3,TP,7,54.09657894736844
O3,TP,8,48.3825
