area,period,hour,value
SC,l2,11,18.16168361
SC,l2,12,18.65159231
SC,l2,13,19.22563769
SC,l2,14,19.41458711
SC,l2,15,19.54035267
SC,l2,16,19.4279094
SC,l2,17,19.17602559
SC,l2,18,19.30479485
SC,l2,19,19.12241687
SC,l2,20,19.15228179
SC,l2,21,18.87182608
SC,l2,22,18.70269127
SC,l2,23,18.29952994
SC,l3,0,21.87970638
SC,l3,1,20.72507397
SC,l3,2,20.74772781
SC,l3,3,19.74903503
SC,l3,4,19.45326981
SC,l3,5,19.25436089
SC,l3,6,19.04611535
SC,l3,7,18.73381481
SC,l3,8,19.04310371
SC,l3,9,20.14950663
SC,l3,10,21.45471017
SC,l3,11,22.06499318
SC,l3,12,23.02534032
SC,l3,13,22.64447899
SC,l3,14,22.94928346
SC,l3,15,22.60780338
SC,l3,16,22.97869741
SC,l3,17,23.67185087
SC,l3,18,23.76777531
SC,l3,19,23.64316703
SC,l3,20,23.28462368
SC,l3,21,23.42717107
SC,l3,22,23.70006935
SC,l3,23,22.58296305
SC,pre,0,18.51600165
SC,pre,1,18.27402658
SC,pre,2,17.92088529
SC,pre,3,17.54564499
SC,pre,4,17.1498278
SC,pre,5,16.87616409
SC,pre,6,16.51018094
SC,pre,7,16.50647988
SC,pre,8,16.73841447
SC,pre,9,17.29950418
SC,pre,10,18.07812657
SC,pre,11,18.66186297
SC,pre,12,18.92849377
SC,pre,13,19.05206981
SC,pre,14,18.9811855
SC,pre,15,19.14052279
SC,pre,16,18.96705415
SC,pre,17,18.99888253
SC,pre,18,19.14806651
SC,pre,19,19.35803332
SC,pre,20,19.52581836
SC,pre,21,19.40355706
SC,pre,22,19.23747786
SC,pre,23,18.91860015
TP,l1,0,26.79987379
TP,l1,1,25.78632822
TP,l1,2,24.6762752
TP,l1,3,23.93124011
TP,l1,4,23.371132
TP,l1,5,22.81550543
TP,l1,6,22.6206244
TP,l1,7,22.6231423
TP,l1,8,22.92999528
TP,l1,9,23.64702921
TP,l1,10,26.70146015
TP,l1,11,30.60229173
TP,l1,12,31.52386629
TP,l1,13,30.03936039
TP,l1,14,27.82627724
TP,l1,15,26.16207074
TP,l1,16,26.86205344
TP,l1,17,25.52420078
TP,l1,18,26.01369555
TP,l1,19,25.97837743
TP,l1,20,26.79428748
TP,l1,21,28.49457018
TP,l1,22,28.69508727
TP,l1,23,27.95921529
TP,l2,0,29.09558945
TP,l2,1,27.72678077
TP,l2,2,26.6250197
TP,l2,3,26.13084684
TP,l2,4,25.62144922
TP,l2,5,25.18245487
TP,l2,6,24.88801273
TP,l2,7,25.12845201
TP,l2,8,25.04001852
TP,l2,9,26.626628
TP,l2,10,29.97216576
TP,l2,11,32.28481752
TP,l2,12,30.92868571
TP,l2,13,29.65809211
TP,l2,14,28.83229177
TP,l2,15,27.99016163
TP,l2,16,29.13569166
TP,l2,17,28.83299503
TP,l2,18,28.6708724
TP,l2,19,28.96246101
TP,l2,20,29.42170932
TP,l2,21,29.95568436
TP,l2,22,30.62003606
TP,l2,23,30.19068107
TP,l3,0,30.08340574
TP,l3,1,29.01081888
TP,l3,2,28.03463981
TP,l3,3,26.86537411
TP,l3,4,26.17356063
TP,l3,5,25.54607866
TP,l3,6,25.0599857
TP,l3,7,24.88167673
TP,l3,8,26.30581006
TP,l3,9,29.09490361
TP,l3,10,33.15053703
TP,l3,11,33.1786593
TP,l3,12,31.68553808
TP,l3,13,31.23950718
TP,l3,14,32.27138284
TP,l3,15,32.72316691
TP,l3,16,31.76313283
TP,l3,17,32.75754386
TP,l3,18,33.67101429
TP,l3,19,33.66066277
TP,l3,20,31.81831828
TP,l3,21,31.36879525
TP,l3,22,31.78085269
TP,l3,23,30.94493492
TP,pre,0,30.81202044
TP,pre,1,29.09452591
TP,pre,2,27.94385331
TP,pre,3,26.76222928
TP,pre,4,26.34889229
TP,pre,5,25.65272028
TP,pre,6,25.11439126
TP,pre,7,24.82852399
TP,pre,8,25.89005576
TP,pre,9,27.25554709
TP,pre,10,30.60608731
TP,pre,11,34.95468008
TP,pre,12,36.57030719
TP,pre,13,35.07190173
TP,pre,14,32.62096309
TP,pre,15,31.46162891
TP,pre,16,28.94163844
TP,pre,17,29.18947368
TP,pre,18,28.40168268
TP,pre,19,29.49167607
TP,pre,20,30.41667286
TP,pre,21,32.37572755
TP,pre,22,32.90468999
TP,pre,23,32.2397613
YR,l1,0,15.5690128
YR,l1,1,15.19555876
YR,l1,2,14.95015249
YR,l1,3,14.76975687
YR,l1,4,14.6143144
YR,l1,5,14.46349312
YR,l1,6,14.27431858
YR,l1,7,14.21023418
YR,l1,8,14.42219853
YR,l1,9,14.81481646
YR,l1,10,15.4875108
YR,l1,11,16.1451967
YR,l1,12,16.21119888
YR,l1,13,16.6577556
YR,l1,14,16.54517438
YR,l1,15,16.54614535
YR,l1,16,16.56631292
YR,l1,17,16.69236442
YR,l1,18,16.76456983
YR,l1,19,16.73884358
YR,l1,20,16.65186311
YR,l1,21,16.61274953
YR,l1,22,16.29237049
YR,l1,23,15.93195882
YR,l2,0,16.63203674
YR,l2,1,16.23357373
YR,l2,2,16.06667364
YR,l2,3,15.69074705
YR,l2,4,15.77702342
YR,l2,5,15.21256734
YR,l2,6,15.24392625
YR,l2,7,15.25211848
YR,l2,8,15.90061983
YR,l2,9,16.29777919
YR,l2,10,16.69267456
YR,l2,11,16.905806
YR,l2,12,17.52289711
YR,l2,13,17.69846306
YR,l2,14,18.13975732
YR,l2,15,18.38253494
YR,l2,16,18.28561051
YR,l2,17,17.936605
YR,l2,18,17.89473185
YR,l2,19,17.44648458
YR,l2,20,17.43777512
YR,l2,21,17.33129453
YR,l2,22,17.16151384
YR,l2,23,16.59281658
YR,l3,0,22.94578462
YR,l3,1,20.52938368
YR,l3,2,20.05151888
YR,l3,3,19.47186628
YR,l3,4,19.69131433
YR,l3,5,19.21863449
YR,l3,6,19.25704102
YR,l3,7,20.49628626
YR,l3,8,21.44309849
YR,l3,9,22.86183888
YR,l3,10,23.65452574
YR,l3,11,23.28812494
YR,l3,12,23.96925993
YR,l3,13,24.73752992
YR,l3,14,24.1987583
YR,l3,15,24.50798999
YR,l3,16,25.23819174
YR,l3,17,27.41094874
YR,l3,18,26.79992927
YR,l3,19,25.50696452
YR,l3,20,25.8715322
YR,l3,21,25.24436694
YR,l3,22,25.29681202
YR,l3,23,23.29407005
YR,pre,0,19.22603884
YR,pre,1,19.26288655
YR,pre,2,18.92086321
YR,pre,3,18.71355304
YR,pre,4,18.30917575
YR,pre,5,18.3094437
YR,pre,6,18.19443491
YR,pre,7,18.27870605
YR,pre,8,18.50371529
YR,pre,9,19.02772673
YR,pre,10,19.81681365
YR,pre,11,20.24003303
YR,pre,12,20.43707927
YR,pre,13,20.36167159
YR,pre,14,20.07821863
YR,pre,15,19.87653245
YR,pre,16,19.93142341
YR,pre,17,19.89986493
YR,pre,18,19.99048419
YR,pre,19,20.25373649
YR,pre,20,20.38308797
YR,pre,21,20.3891881
YR,pre,22,20.11537861
YR,pre,23,19.86814508
