,name,area,Unnamed: 0_x,GDP,Unnamed: 0_y,car,B,G,Z,D
128,滨州,NCP,142.0,初步核算数据为2457.19,,,初步核算数据为2457.19,2457.19,,
129,焦作,NCP,152.0,2761.1,,,2761.1,2761.1,,
130,盘锦,NCP,48.0,1280.9,,,1280.9,1280.9,,
131,聊城,NCP,141.0,2259.82,,,2259.82,2259.82,,
132,胶南,NCP,,,,,,,,
133,菏泽,NCP,143.0,（GDP）3409.98,,,（GDP）3409.98,3409.98,,
134,营口,NCP,46.0,[2]1328.2,25.0,38.7,1328.2,1328.2,,
135,许昌,NCP,154.0,3395.7,,,3395.7,3395.7,,
136,运城,NCP,23.0,1562.9,17.0,83.3,1562.9,1562.9,,
137,邢台,NCP,10.0,完成2119.96,10.0,128.8,完成2119.96,2119.96,,
138,锦州,NCP,45.0,（GDP）1073.0,24.0,39.3,（GDP）1073.0,1073.0,,
139,驻马店,NCP,161.0,2742.06,,,2742.06,2742.06,,
140,三门峡,NCP,156.0,1443.82,,,1443.82,1443.82,,
141,临夏,NCP,298.0,303.5,,,303.5,303.5,临夏,
142,乳山,NCP,,,,,,,,
143,吕梁,NCP,26.0,1512.1,20.0,40.7,1512.1,1512.1,,
144,商洛,NCP,284.0,837.21,,,837.21,837.21,,
145,固原,NCP,305.0,322.66,,,322.66,322.66,,
146,天水,NCP,290.0,632.67,108.0,60.32,632.67,632.67,,
147,安康,NCP,283.0,（GDP）1182.06,,,（GDP）1182.06,1182.06,,
148,定西,NCP,296.0,416.38,,,416.38,416.38,,
149,平凉,NCP,293.0,456.58,109.0,21.37,456.58,456.58,,
150,庆阳,NCP,295.0,742.94,,,742.94,742.94,,
151,延安,NCP,280.0,（GDP）1663.89,,,（GDP）1663.89,1663.89,,
152,忻州,NCP,24.0,1001.6,18.0,35.9,1001.6,1001.6,,
153,文登,NCP,,,,,,,,
154,晋城,NCP,21.0,1362.4,15.0,43.1,1362.4,1362.4,,
155,朔州,NCP,,,,,,,,
