date,每天总成交额,每天总成交平均总价,每天成交每平米平均价
2020-05-11,35034,139.5776892430279,15003.98406374502
2020-05-12,33214,131.2806324110672,14666.280632411068
2020-05-13,15693,129.69421487603304,13422.876033057852
2020-05-14,27681,130.57075471698113,14316.759433962265
2020-05-15,28537,141.97512437810946,14840.611940298508
2020-05-16,38636,130.52702702702703,14717.763513513513
2020-05-17,58908,134.1867881548975,15079.259681093394
2020-05-18,27262,119.04803493449782,14141.606986899564
2020-05-19,35653,123.79513888888889,14601.78125
2020-05-20,36802,136.8104089219331,14818.078066914499
2020-05-21,34089,137.45564516129033,15338.592741935483
2020-05-22,33840,137.5609756097561,14866.58943089431
2020-05-23,40639,136.3724832214765,15006.439597315437
2020-05-24,58993,132.86711711711712,15071.54054054054
